scenario,algorithm,granularity,n_submitted,n_admitted,rejection_rate,fragmentation_or_unallocated,gpu_utilization
checkpoint_io_burst,least_requested,node,300,194,0.3533333333333334,1.0,1.0
checkpoint_io_burst,fgd,node,300,185,0.3833333333333333,1.0,0.99375
checkpoint_io_burst,w_fgd,node,300,183,0.39,1.0,1.0
checkpoint_io_burst,w_fgd_balanced,node,300,195,0.35,1.0,1.0
checkpoint_io_burst,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
checkpoint_io_burst,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
checkpoint_io_burst,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
cold_start_storm,random,node,300,204,0.31999999999999995,1.0,1.0
cold_start_storm,first_fit,node,300,192,0.36,1.0,1.0
cold_start_storm,best_fit,node,300,192,0.36,1.0,1.0
cold_start_storm,worst_fit,node,300,202,0.32666666666666666,1.0,1.0
cold_start_storm,round_robin,node,300,197,0.3433333333333334,1.0,1.0
cold_start_storm,gpu_packing,node,300,192,0.36,1.0,1.0
cold_start_storm,least_requested,node,300,205,0.31666666666666665,1.0,1.0
cold_start_storm,fgd,node,300,195,0.35,1.0,1.0
cold_start_storm,w_fgd,node,300,198,0.33999999999999997,1.0,1.0
cold_start_storm,w_fgd_balanced,node,300,194,0.3533333333333334,1.0,0.9625
cold_start_storm,h-tafm-cut,numa,300,207,0.31000000000000005,56.0,0.65
cold_start_storm,h-tafm-entropy,numa,300,207,0.31000000000000005,56.0,0.65
cold_start_storm,h-tafm-hier,numa,300,207,0.31000000000000005,56.0,0.65
diurnal_pattern,random,node,300,191,0.3633333333333333,1.0,1.0
diurnal_pattern,first_fit,node,300,181,0.3966666666666666,1.0,1.0
diurnal_pattern,best_fit,node,300,181,0.3966666666666666,1.0,1.0
diurnal_pattern,worst_fit,node,300,187,0.3766666666666667,1.0,1.0
diurnal_pattern,round_robin,node,300,187,0.3766666666666667,1.0,1.0
diurnal_pattern,gpu_packing,node,300,181,0.3966666666666666,1.0,1.0
diurnal_pattern,least_requested,node,300,194,0.3533333333333334,1.0,1.0
diurnal_pattern,fgd,node,300,191,0.3633333333333333,1.0,1.0
diurnal_pattern,w_fgd,node,300,188,0.3733333333333333,1.0,1.0
diurnal_pattern,w_fgd_balanced,node,300,195,0.35,1.0,1.0
diurnal_pattern,h-tafm-cut,numa,300,195,0.35,66.0,0.5875
diurnal_pattern,h-tafm-entropy,numa,300,195,0.35,66.0,0.5875
diurnal_pattern,h-tafm-hier,numa,300,195,0.35,66.0,0.5875
flash_crowd,random,node,300,204,0.31999999999999995,1.0,1.0
flash_crowd,first_fit,node,300,198,0.33999999999999997,1.0,0.99375
flash_crowd,best_fit,node,300,198,0.33999999999999997,1.0,0.99375
flash_crowd,worst_fit,node,300,204,0.31999999999999995,1.0,1.0
flash_crowd,round_robin,node,300,203,0.32333333333333336,1.0,1.0
flash_crowd,gpu_packing,node,300,199,0.33666666666666667,1.0,1.0
flash_crowd,least_requested,node,300,214,0.2866666666666666,1.0,1.0
flash_crowd,fgd,node,300,203,0.32333333333333336,1.0,0.99375
flash_crowd,w_fgd,node,300,199,0.33666666666666667,1.0,1.0
flash_crowd,w_fgd_balanced,node,300,209,0.30333333333333334,1.0,0.9875
flash_crowd,h-tafm-cut,numa,300,214,0.2866666666666666,53.0,0.66875
flash_crowd,h-tafm-entropy,numa,300,213,0.29000000000000004,54.0,0.6625
flash_crowd,h-tafm-hier,numa,300,214,0.2866666666666666,53.0,0.66875
gpu_fragmentation_sharing,random,node,300,238,0.20666666666666667,0.95,0.696875
gpu_fragmentation_sharing,first_fit,node,300,237,0.20999999999999996,0.95,0.6921875
gpu_fragmentation_sharing,best_fit,node,300,238,0.20666666666666667,0.95,0.696875
gpu_fragmentation_sharing,worst_fit,node,300,239,0.20333333333333337,0.8699999999999999,0.690625
gpu_fragmentation_sharing,round_robin,node,300,238,0.20666666666666667,0.9,0.696875
gpu_fragmentation_sharing,gpu_packing,node,300,238,0.20666666666666667,0.95,0.696875
gpu_fragmentation_sharing,least_requested,node,300,238,0.20666666666666667,0.8699999999999999,0.696875
gpu_fragmentation_sharing,fgd,node,300,238,0.20666666666666667,0.8400000000000001,0.696875
gpu_fragmentation_sharing,w_fgd,node,300,239,0.20333333333333337,0.9,0.690625
gpu_fragmentation_sharing,w_fgd_balanced,node,300,237,0.20999999999999996,1.0,0.69375
gpu_fragmentation_sharing,h-tafm-cut,numa,300,279,0.06999999999999995,53.25,0.6671875
gpu_fragmentation_sharing,h-tafm-entropy,numa,300,279,0.06999999999999995,53.25,0.6671875
gpu_fragmentation_sharing,h-tafm-hier,numa,300,279,0.06999999999999995,53.25,0.6671875
heavy_tail_demand,random,node,300,185,0.3833333333333333,1.0,1.0
heavy_tail_demand,first_fit,node,300,180,0.4,1.0,1.0
heavy_tail_demand,best_fit,node,300,180,0.4,1.0,1.0
heavy_tail_demand,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
heavy_tail_demand,round_robin,node,300,180,0.4,1.0,1.0
heavy_tail_demand,gpu_packing,node,300,180,0.4,1.0,1.0
heavy_tail_demand,least_requested,node,300,194,0.3533333333333334,1.0,1.0
heavy_tail_demand,fgd,node,300,185,0.3833333333333333,1.0,0.99375
heavy_tail_demand,w_fgd,node,300,183,0.39,1.0,1.0
heavy_tail_demand,w_fgd_balanced,node,300,195,0.35,1.0,1.0
heavy_tail_demand,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
heavy_tail_demand,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
heavy_tail_demand,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
high_contention,random,node,300,189,0.37,0.97,0.99375
high_contention,first_fit,node,300,184,0.3866666666666667,0.97,0.99375
high_contention,best_fit,node,300,184,0.3866666666666667,0.97,0.99375
high_contention,worst_fit,node,300,189,0.37,0.97,0.99375
high_contention,round_robin,node,300,195,0.35,0.97,0.99375
high_contention,gpu_packing,node,300,184,0.3866666666666667,0.97,0.99375
high_contention,least_requested,node,300,199,0.33666666666666667,0.97,0.99375
high_contention,fgd,node,300,191,0.3633333333333333,0.97,0.99375
high_contention,w_fgd,node,300,193,0.3566666666666667,0.97,0.99375
high_contention,w_fgd_balanced,node,300,192,0.36,1.0,0.93125
high_contention,h-tafm-cut,numa,300,214,0.2866666666666666,50.0,0.6875
high_contention,h-tafm-entropy,numa,300,214,0.2866666666666666,50.0,0.6875
high_contention,h-tafm-hier,numa,300,214,0.2866666666666666,50.0,0.6875
llm_inference_bursty,random,node,300,263,0.1233333333333333,0.75,0.27578125
llm_inference_bursty,first_fit,node,300,263,0.1233333333333333,0.9,0.27578125
llm_inference_bursty,best_fit,node,300,263,0.1233333333333333,0.9,0.27578125
llm_inference_bursty,worst_fit,node,300,263,0.1233333333333333,0.7,0.27578125
llm_inference_bursty,round_robin,node,300,263,0.1233333333333333,0.9,0.27578125
llm_inference_bursty,gpu_packing,node,300,263,0.1233333333333333,0.9,0.27578125
llm_inference_bursty,least_requested,node,300,263,0.1233333333333333,0.75,0.27578125
llm_inference_bursty,fgd,node,300,263,0.1233333333333333,0.6,0.27578125
llm_inference_bursty,w_fgd,node,300,263,0.1233333333333333,0.76,0.27578125
llm_inference_bursty,w_fgd_balanced,node,300,263,0.1233333333333333,0.65,0.27578125
llm_inference_bursty,h-tafm-cut,numa,300,297,0.010000000000000009,106.875,0.33203125
llm_inference_bursty,h-tafm-entropy,numa,300,290,0.033333333333333326,108.25,0.3234375
llm_inference_bursty,h-tafm-hier,numa,300,296,0.013333333333333308,107.0,0.33125
long_context_kv_pressure,random,node,300,185,0.3833333333333333,1.0,1.0
long_context_kv_pressure,first_fit,node,300,180,0.4,1.0,1.0
long_context_kv_pressure,best_fit,node,300,180,0.4,1.0,1.0
long_context_kv_pressure,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
long_context_kv_pressure,round_robin,node,300,180,0.4,1.0,1.0
long_context_kv_pressure,gpu_packing,node,300,180,0.4,1.0,1.0
long_context_kv_pressure,least_requested,node,300,194,0.3533333333333334,1.0,1.0
long_context_kv_pressure,fgd,node,300,185,0.3833333333333333,1.0,0.99375
long_context_kv_pressure,w_fgd,node,300,183,0.39,1.0,1.0
long_context_kv_pressure,w_fgd_balanced,node,300,195,0.35,1.0,1.0
long_context_kv_pressure,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
long_context_kv_pressure,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
long_context_kv_pressure,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
moe_expert_load_skew,random,node,300,185,0.3833333333333333,1.0,1.0
moe_expert_load_skew,first_fit,node,300,180,0.4,1.0,1.0
moe_expert_load_skew,best_fit,node,300,180,0.4,1.0,1.0
moe_expert_load_skew,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
moe_expert_load_skew,round_robin,node,300,180,0.4,1.0,1.0
moe_expert_load_skew,gpu_packing,node,300,180,0.4,1.0,1.0
moe_expert_load_skew,least_requested,node,300,194,0.3533333333333334,1.0,1.0
moe_expert_load_skew,fgd,node,300,185,0.3833333333333333,1.0,0.99375
moe_expert_load_skew,w_fgd,node,300,183,0.39,1.0,1.0
moe_expert_load_skew,w_fgd_balanced,node,300,195,0.35,1.0,1.0
moe_expert_load_skew,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
moe_expert_load_skew,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
moe_expert_load_skew,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
resource_starvation,random,node,300,182,0.3933333333333333,1.0,1.0
resource_starvation,first_fit,node,300,181,0.3966666666666666,1.0,1.0
resource_starvation,best_fit,node,300,181,0.3966666666666666,1.0,1.0
resource_starvation,worst_fit,node,300,181,0.3966666666666666,1.0,1.0
resource_starvation,round_robin,node,300,183,0.39,1.0,1.0
resource_starvation,gpu_packing,node,300,179,0.4033333333333333,1.0,1.0
resource_starvation,least_requested,node,300,196,0.3466666666666667,1.0,1.0
resource_starvation,fgd,node,300,183,0.39,1.0,1.0
resource_starvation,w_fgd,node,300,182,0.3933333333333333,1.0,1.0
resource_starvation,w_fgd_balanced,node,300,196,0.3466666666666667,1.0,1.0
resource_starvation,h-tafm-cut,numa,300,213,0.29000000000000004,43.0,0.73125
resource_starvation,h-tafm-entropy,numa,300,216,0.28,40.0,0.75
resource_starvation,h-tafm-hier,numa,300,214,0.2866666666666666,42.0,0.7375
spot_preemption_churn,random,node,300,185,0.3833333333333333,1.0,1.0
spot_preemption_churn,first_fit,node,300,180,0.4,1.0,1.0
spot_preemption_churn,best_fit,node,300,180,0.4,1.0,1.0
spot_preemption_churn,worst_fit,node,300,188,0.3733333333333333,1.0,1.0
spot_preemption_churn,round_robin,node,300,180,0.4,1.0,1.0
spot_preemption_churn,gpu_packing,node,300,180,0.4,1.0,1.0
spot_preemption_churn,least_requested,node,300,194,0.3533333333333334,1.0,1.0
spot_preemption_churn,fgd,node,300,185,0.3833333333333333,1.0,0.99375
spot_preemption_churn,w_fgd,node,300,183,0.39,1.0,1.0
spot_preemption_churn,w_fgd_balanced,node,300,195,0.35,1.0,1.0
spot_preemption_churn,h-tafm-cut,numa,300,215,0.2833333333333333,49.0,0.69375
spot_preemption_churn,h-tafm-entropy,numa,300,219,0.27,45.0,0.71875
spot_preemption_churn,h-tafm-hier,numa,300,219,0.27,45.0,0.71875
