scenario,algorithm,mode,n_submitted,n_admitted,rejection_rate,jains_fairness_per_user_admission,packing_efficiency,gpu_utilization,offered_load_ratio
high_contention,random,static,300,189,0.37,0.7275828397692302,1.0,0.99375,2.51875
high_contention,first_fit,static,300,184,0.3866666666666667,0.7087856163985576,1.0,0.99375,2.51875
high_contention,best_fit,static,300,184,0.3866666666666667,0.7087856163985576,1.0,0.99375,2.51875
high_contention,worst_fit,static,300,189,0.37,0.7275828397692302,1.0,0.99375,2.51875
high_contention,round_robin,static,300,195,0.35,0.757237360574962,1.0,0.99375,2.51875
high_contention,gpu_packing,static,300,184,0.3866666666666667,0.7087856163985576,1.0,0.99375,2.51875
high_contention,least_requested,static,300,199,0.33666666666666667,0.754878345098973,1.0,0.99375,2.51875
high_contention,fgd,static,300,191,0.3633333333333333,0.7302908937605396,1.0,0.99375,2.51875
high_contention,w_fgd,static,300,193,0.3566666666666667,0.742303780387102,1.0,0.99375,2.51875
high_contention,w_fgd_balanced,static,300,192,0.36,0.732476629601324,1.0,0.93125,2.51875
llm_inference_bursty,random,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,first_fit,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,best_fit,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,worst_fit,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,round_robin,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,gpu_packing,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,least_requested,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,fgd,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,w_fgd,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
llm_inference_bursty,w_fgd_balanced,static,300,263,0.1233333333333333,0.9096038758060813,1.0,0.27578125,0.33984375
long_context_kv_pressure,random,static,300,185,0.3833333333333333,0.7026541191800072,1.0,1.0,2.51875
long_context_kv_pressure,first_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
long_context_kv_pressure,best_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
long_context_kv_pressure,worst_fit,static,300,188,0.3733333333333333,0.7047325780751715,1.0,1.0,2.51875
long_context_kv_pressure,round_robin,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
long_context_kv_pressure,gpu_packing,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
long_context_kv_pressure,least_requested,static,300,194,0.3533333333333334,0.7214206982669906,1.0,1.0,2.51875
long_context_kv_pressure,fgd,static,300,185,0.3833333333333333,0.7119123895859715,1.0,0.99375,2.51875
long_context_kv_pressure,w_fgd,static,300,183,0.39,0.6919412474888117,1.0,1.0,2.51875
long_context_kv_pressure,w_fgd_balanced,static,300,195,0.35,0.7291201401479042,1.0,1.0,2.51875
moe_expert_load_skew,random,static,300,185,0.3833333333333333,0.8047664787322503,1.0,1.0,2.51875
moe_expert_load_skew,first_fit,static,300,180,0.4,0.7946076860526423,1.0,1.0,2.51875
moe_expert_load_skew,best_fit,static,300,180,0.4,0.7946076860526423,1.0,1.0,2.51875
moe_expert_load_skew,worst_fit,static,300,188,0.3733333333333333,0.8057200877763738,1.0,1.0,2.51875
moe_expert_load_skew,round_robin,static,300,180,0.4,0.7946076860526423,1.0,1.0,2.51875
moe_expert_load_skew,gpu_packing,static,300,180,0.4,0.7946076860526423,1.0,1.0,2.51875
moe_expert_load_skew,least_requested,static,300,194,0.3533333333333334,0.8244504730234061,1.0,1.0,2.51875
moe_expert_load_skew,fgd,static,300,185,0.3833333333333333,0.8160481665538619,1.0,0.99375,2.51875
moe_expert_load_skew,w_fgd,static,300,183,0.39,0.7952230167130739,1.0,1.0,2.51875
moe_expert_load_skew,w_fgd_balanced,static,300,195,0.35,0.8281337992196643,1.0,1.0,2.51875
resource_starvation,random,static,300,182,0.3933333333333333,0.6975969299909894,1.0,1.0,3.75
resource_starvation,first_fit,static,300,181,0.3966666666666666,0.6895087096935081,1.0,1.0,3.75
resource_starvation,best_fit,static,300,181,0.3966666666666666,0.6905508249648107,1.0,1.0,3.75
resource_starvation,worst_fit,static,300,181,0.3966666666666666,0.6965525256175354,1.0,1.0,3.75
resource_starvation,round_robin,static,300,183,0.39,0.6977333885686688,1.0,1.0,3.75
resource_starvation,gpu_packing,static,300,179,0.4033333333333333,0.6848994136945025,1.0,1.0,3.75
resource_starvation,least_requested,static,300,196,0.3466666666666667,0.7314705308752945,1.0,1.0,3.75
resource_starvation,fgd,static,300,183,0.39,0.7051088409159202,1.0,1.0,3.75
resource_starvation,w_fgd,static,300,182,0.3933333333333333,0.7003431903919769,1.0,1.0,3.75
resource_starvation,w_fgd_balanced,static,300,196,0.3466666666666667,0.7321845108370353,1.0,1.0,3.75
spot_preemption_churn,random,static,300,185,0.3833333333333333,0.7026541191800072,1.0,1.0,2.51875
spot_preemption_churn,first_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
spot_preemption_churn,best_fit,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
spot_preemption_churn,worst_fit,static,300,188,0.3733333333333333,0.7047325780751715,1.0,1.0,2.51875
spot_preemption_churn,round_robin,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
spot_preemption_churn,gpu_packing,static,300,180,0.4,0.6806893846967483,1.0,1.0,2.51875
spot_preemption_churn,least_requested,static,300,194,0.3533333333333334,0.7214206982669906,1.0,1.0,2.51875
spot_preemption_churn,fgd,static,300,185,0.3833333333333333,0.7119123895859715,1.0,0.99375,2.51875
spot_preemption_churn,w_fgd,static,300,183,0.39,0.6919412474888117,1.0,1.0,2.51875
spot_preemption_churn,w_fgd_balanced,static,300,195,0.35,0.7291201401479042,1.0,1.0,2.51875
